id_venta,producto,cantidad,precio_unitario,vendedor
1001,Laptop,2,1500,Ana
1002,Mouse,10,20,Carlos
1003,Teclado,5,45,Ana
1004,Monitor,3,200,Beatriz
1005,Laptop,1,1500,Carlos
1006,Mouse,2,20,Ana
1007,Mouse,12,20,Hugo
1008,Teclado,4,45,Beatriz
1009,RAM,8,90,Beatriz
1010,Impresora,12,250,Jose
1011,Laptop,13,1500,Diego
1012,Webcam,15,60,Elena
1013,Webcam,11,60,Diego
1014,SSD,3,120,Isabel
1015,Monitor,1,200,Jose
1016,Switch,16,95,Fernando
1017,Switch,13,95,Jose
1018,RAM,19,90,Elena
1019,SSD,6,120,Gabriela
1020,Webcam,16,60,Hugo
1021,Router,2,75,Elena
1022,RAM,4,90,Jose
1023,Switch,10,95,Ana
1024,Webcam,17,60,Gabriela
1025,Laptop,14,1500,Hugo
1026,Mouse,9,20,Diego
1027,Mouse,4,20,Fernando
1028,Switch,5,95,Diego
1029,Laptop,20,1500,Carlos
1030,Parlantes,13,110,Fernando
1031,Tablet,8,350,Jose
1032,Tablet,9,350,Elena
1033,Mouse,10,20,Gabriela
1034,USB Hub,5,30,Hugo
1035,Webcam,10,60,Gabriela
1036,Teclado,8,45,Gabriela
1037,RAM,16,90,Elena
1038,Switch,9,95,Isabel
1039,Laptop,19,1500,Carlos
1040,Teclado,16,45,Isabel
1041,Laptop,4,1500,Elena
1042,Mouse,11,20,Diego
1043,RAM,4,90,Jose
1044,Parlantes,16,110,Jose
1045,Router,4,75,Jose
1046,Switch,16,95,Jose
1047,Tablet,3,350,Fernando
1048,Monitor,5,200,Carlos
1049,Tablet,5,350,Fernando
1050,Router,17,75,Elena
1051,Mouse,5,20,Jose
1052,Webcam,8,60,Fernando
1053,Auriculares,10,80,Fernando
1054,RAM,10,90,Hugo
1055,Auriculares,11,80,Ana
1056,SSD,2,120,Jose
1057,Tablet,18,350,Diego
1058,Router,10,75,Carlos
1059,Router,4,75,Fernando
1060,Teclado,17,45,Elena
1061,Router,13,75,Jose
1062,SSD,19,120,Ana
1063,Laptop,9,1500,Carlos
1064,Teclado,11,45,Elena
1065,Tablet,8,350,Isabel
1066,Microfono,10,70,Jose
1067,Auriculares,6,80,Fernando
1068,Laptop,7,1500,Fernando
1069,Laptop,18,1500,Elena
1070,SSD,10,120,Hugo
1071,Auriculares,16,80,Jose
1072,RAM,16,90,Jose
1073,Webcam,7,60,Diego
1074,Microfono,19,70,Diego
1075,Auriculares,14,80,Elena
1076,Router,14,75,Ana
1077,SSD,10,120,Gabriela
1078,Laptop,7,1500,Diego
1079,Auriculares,14,80,Gabriela
1080,RAM,15,90,Ana
1081,Switch,20,95,Gabriela
1082,Teclado,15,45,Gabriela
1083,Mouse,16,20,Elena
1084,RAM,16,90,Gabriela
1085,Laptop,3,1500,Jose
1086,Impresora,19,250,Diego
1087,Router,14,75,Beatriz
1088,Impresora,13,250,Jose
1089,Microfono,20,70,Elena
1090,USB Hub,10,30,Diego
1091,Impresora,14,250,Jose
1092,Impresora,4,250,Jose
1093,Microfono,11,70,Fernando
1094,Microfono,2,70,Gabriela
1095,Microfono,20,70,Carlos
1096,Switch,12,95,Ana
1097,Parlantes,5,110,Fernando
1098,Auriculares,14,80,Jose
1099,Impresora,17,250,Gabriela
1100,RAM,2,90,Diego
1101,Mouse,14,20,Gabriela
1102,Tablet,3,350,Beatriz
1103,USB Hub,6,30,Hugo
1104,Router,4,75,Carlos
1105,Mouse,13,20,Fernando
1106,Teclado,20,45,Hugo
